name,school_type,address,campus_kind
천안월봉고등학교,일반고등학교,충청남도 천안시 서북구 불당11로 51,-
온양용화고등학교,일반고등학교,충청남도 아산시 용화고길 10,-
천안쌍용고등학교,일반고등학교,충청남도 천안시 서북구 월봉7길 10,-
한마음고등학교,특성화고등학교,충청남도 천안시 동남구 동면 장송1길 47-24,-
비전고등학교,특성화고등학교,충청남도 서천군 서천읍 서문로 327,-
천안신당고등학교,일반고등학교,충청남도 천안시 서북구 신당새터2길 36,-
충남외국어고등학교,특수목적고등학교,충청남도 아산시 탕정면 탕정면로 53-60,-
계룡고등학교,일반고등학교,충청남도 계룡시 두마면 서금암로 89,-
천안청수고등학교,일반고등학교,충청남도 천안시 동남구 청수로 82-46,-
천안업성고등학교,일반고등학교,충청남도 천안시 서북구 업성3길 65-11,-
천안오성고등학교,일반고등학교,충청남도 천안시 서북구 과수원길 27,-
대산고등학교,자율고등학교,충청남도 서산시 대산읍 대산1로 36,-
설화고등학교,일반고등학교,충청남도 아산시 배방읍 용연로 ,-
청양고등학교,일반고등학교,충청남도 청양군 청양읍 문화예술로 149,-
배방고등학교,일반고등학교,충청남도 아산시 배방읍 배방산길359번길 61,-
충남삼성고등학교,자율고등학교,충청남도 아산시 탕정면 삼성로 77,-
천안불당고등학교,일반고등학교,충청남도 천안시 서북구 불당29길 22,-
이순신고등학교,일반고등학교,충청남도 아산시 배방읍 동방로 132,-
아산충무고등학교,일반고등학교,충청남도 아산시 둔포면 둔포로38번길 145,-
전북대학교사범대학부설고등학교,일반고등학교,전북특별자치도 전주시 덕진구 조경단로 117,-
전북기계공업고등학교,특수목적고등학교,전북특별자치도 익산시 인북로32길 41,-
강호항공고등학교,특성화고등학교,전북특별자치도 고창군 고창읍 중거리당산로 78-22,-
고산고등학교,특성화고등학교,전북특별자치도 완주군 고산면 고산천로 551-23,-
고창고등학교,일반고등학교,전북특별자치도 고창군 고창읍 모양성로 50,-
고창북고등학교,일반고등학교,전북특별자치도 고창군 흥덕면 선운대로 3714-32,-
자유고등학교,일반고등학교,전북특별자치도 고창군 고창읍 모양성로 95,-
군산고등학교,일반고등학교,전북특별자치도 군산시 팔마로 177,-
군산기계공업고등학교,특수목적고등학교,전북특별자치도 군산시 군중길 28,-
한들고등학교,일반고등학교,전북특별자치도 군산시 대야면 만자로 60,-
