학교명,주소,현재lat,현재lon,kakao_lat,kakao_lon,거리차_km,검증상태
남성고등학교,전북특별자치도 익산시 동서로35길 41-4,35.9576025926241,126.966913465453,,,,no_docs
남원제일고등학교,전북특별자치도 남원시 노송로 1206,35.3914266718207,127.373721820164,35.3914266718207,127.373721820164,0.0,ok
남원국악예술고등학교,전북특별자치도 남원시 용성로 323,35.4259513538889,127.405555453514,35.4259513538889,127.405555453514,0.0,ok
덕암고등학교,전북특별자치도 김제시 하공로 9,35.8130932253038,126.887082942018,35.8130932253038,126.887082942018,0.0,ok
덕암정보고등학교,전북특별자치도 김제시 하공로 9,35.8130932253038,126.887082942018,35.8130932253038,126.887082942018,0.0,ok
만경고등학교,전북특별자치도 김제시 만경읍 능제로 29,35.8485588444503,126.817211240898,35.8485588444503,126.817211240898,0.0,ok
배영고등학교,전북특별자치도 정읍시 동학로 243,35.6012602616816,126.811653612323,35.6012602616816,126.811653612323,0.0,ok
산서고등학교,전북특별자치도 장수군 산서면 보산로 1852-6,35.583886379413,127.399016153761,35.583886379413,127.399016153761,0.0,ok
성일고등학교,전북특별자치도 익산시 황등면 화강암로 229,36.0084597073014,126.946630690427,36.0084597073014,126.946630690427,0.0,ok
세인고등학교,전북특별자치도 완주군 화산면 화산로 1486,36.0686313888463,127.153985212928,36.0686313888463,127.153985212928,0.0,ok
전주솔내고등학교,전북특별자치도 전주시 덕진구 송천중앙로 170,35.8630127794322,127.122506592389,35.8630127794322,127.122506592389,0.0,ok
안천고등학교,전북특별자치도 진안군 안천면 진무로 3071-9,35.9003229157085,127.560218861965,35.9003229157085,127.560218861965,0.0,ok
전주대학교사범대학부설고등학교,전북특별자치도 전주시 완산구 천잠로 313,35.8153681379258,127.093446082193,35.8153681379258,127.093446082193,0.0,ok
완주고등학교,전북특별자치도 완주군 봉동읍 봉동로 172,35.9407823335497,127.166284597593,35.9407823335497,127.166284597593,0.0,ok
전주기전여자고등학교,전북특별자치도 전주시 완산구 유연로 133,35.826239087715,127.100654950668,35.826239087715,127.100654950668,0.0,ok
전주신흥고등학교,전북특별자치도 전주시 완산구 서원로 399,35.8154128312137,127.136278431321,35.8154128312137,127.136278431321,0.0,ok
전주영생고등학교,전북특별자치도 전주시 완산구 천잠로 333,35.8161003658193,127.091987648221,35.8161003658193,127.091987648221,0.0,ok
전주한일고등학교,전북특별자치도 전주시 완산구 백제대로 442,35.8312309767788,127.123647468805,35.8312309767788,127.123647468805,0.0,ok
정읍고등학교,전북특별자치도 정읍시 정읍사로 594,35.5553183397412,126.865429903017,35.5553183397412,126.865429903017,0.0,ok
정읍여자고등학교,전북특별자치도 정읍시 충정로 56-11,35.5591403117145,126.871133125893,35.5591403117145,126.871133125893,0.0,ok
진경여자고등학교,전북특별자치도 익산시 황등서로 40-92,36.005042397361,126.940832840129,36.005042397361,126.940832840129,0.0,ok
태인고등학교,전북특별자치도 정읍시 태인면 석지로 1469,35.6526188487414,126.938943182742,35.6526188487414,126.938943182742,0.0,ok
한국경마축산고등학교,전북특별자치도 남원시 운봉읍 황산로 952,35.4408004101497,127.516191193594,35.4408004101497,127.516191193594,0.0,ok
함열여자고등학교,전북특별자치도 익산시 익산대로 1852,36.0829558884505,126.96908398131,36.0829558884505,126.96908398131,0.0,ok
호남제일고등학교,전북특별자치도 전주시 완산구 서원로 53,35.8139064090171,127.099259799851,35.8139064090171,127.099259799851,0.0,ok
한국게임과학고등학교,전북특별자치도 완주군 운주면 대둔산로 1336,36.0827692455778,127.285384755919,36.0827692455778,127.285384755919,0.0,ok
광양여자고등학교,전라남도 광양시 광양읍 인덕로 1039,34.976496906873,127.580412565054,34.976496906873,127.580412565054,0.0,ok
