name,address,src_lat,src_lon,kakao_lat,kakao_lon,diff_km,status,detail
전남공업고등학교,광주광역시 광산구 왕버들로322번길 26,35.1937625,126.8441185,35.1935638071041,126.843113822031,0.094,match,
전남여자고등학교,광주광역시 동구 제봉로158번길 8,35.1518319,126.9198964,35.1508773347737,126.920400501517,0.116,match,
전남여자상업고등학교,광주광역시 북구 설죽로 433,35.2140733,126.8977543,35.1991144593752,126.895612324385,1.675,mismatch,
정광고등학교,광주광역시 광산구 소촌로 90-36,35.1539911,126.7952289,35.1551428697056,126.796028556336,0.147,match,
조선대학교부속고등학교,광주광역시 동구 의재로33번길 33,35.1346005,126.9318962,35.1350581534093,126.930809705681,0.111,match,
조선대학교여자고등학교,광주광역시 동구 지산로 36,35.1464719,126.9322565,35.1464868766097,126.93271311632,0.042,match,
호남삼육고등학교,광주광역시 남구 회서로 30,35.1302517,126.8938393,35.1289421003815,126.893465945771,0.15,match,
송원미래인재고등학교,광주광역시 남구 송암로 73,35.1137826,126.8727011,35.1081845052901,126.873266442573,0.625,minor,
운남고등학교,광주광역시 광산구 임방울대로165번길 17,35.176057,126.8138386,35.1754538646834,126.816305730701,0.234,match,
풍암고등학교,광주광역시 서구 풍암신흥로39번길 20,35.122285,126.866887,35.1229509810012,126.867401541994,0.088,match,
첨단고등학교,광주광역시 광산구 산월로 12-17,35.2067567,126.8379477,35.2067250781726,126.837907094827,0.005,match,
상일여자고등학교,광주광역시 서구 내방로 217,35.1586213,126.8644366,35.1588022802963,126.864629793352,0.027,match,
장덕고등학교,광주광역시 광산구 수등로 45,35.1855696,126.8119885,35.1859242523047,126.815342682223,0.307,minor,
수완고등학교,광주광역시 광산구 장덕로 155,35.1982099,126.8254949,35.1980692770292,126.825938604239,0.043,match,
문정여자고등학교,광주광역시 북구 능안로30번길 33,35.1878955,126.9186179,35.1891280895365,126.91946387318,0.157,match,
성덕고등학교,광주광역시 광산구 장덕로 75,35.195746,126.8175349,35.1958501457946,126.817489097422,0.012,match,
빛고을고등학교,광주광역시 북구 첨단연신로133번길 16,35.2099961,126.8615494,35.2107122151396,126.8623851771,0.11,match,
비아고등학교,광주광역시 광산구 첨단중앙로181번길 42-26,35.2198868,126.8316241,35.2227412370622,126.836415020641,0.539,minor,
대전생활과학고등학교,대전광역시 대덕구 동산초교로63번길 12,36.3496101,127.4224233,36.3498312996062,127.423062641674,0.062,match,
계룡디지텍고등학교,대전광역시 동구 소랑길 64,36.3368118,127.4339636,36.3376254914464,127.434474866587,0.101,match,
남대전고등학교,대전광역시 중구 보문로111번길 63,36.3122747,127.4294165,36.3107483668685,127.427819473213,0.222,match,
대덕고등학교,대전광역시 유성구 대덕대로556번길 158,36.386966,127.3810036,36.3875733895322,127.381684394947,0.091,match,
대덕소프트웨어마이스터고등학교,대전광역시 유성구 가정북로 76,36.3914961,127.3631904,36.3920263282383,127.36304191185,0.06,match,
대전대성고등학교,대전광역시 중구 목동로 23,36.332937,127.4072224,36.3319710025097,127.407077876817,0.108,match,
대전대성여자고등학교,대전광역시 동구 대성2길 20,36.3386302,127.4409398,36.3377260383797,127.44056173937,0.106,match,
대전고등학교,대전광역시 중구 대흥로 110,36.323592,127.4268869,36.3224305385687,127.423386008918,0.339,minor,
대전도시과학고등학교,대전광역시 유성구 진잠로42번길 35,36.2964234,127.320234,36.2975139176958,127.319944513339,0.124,match,
대전과학고등학교,대전광역시 유성구 과학로 46,36.3740021,127.3709521,36.3741946568515,127.371435752239,0.048,match,
대전관저고등학교,대전광역시 서구 관저북로 94,36.3107193,127.3379942,36.3108071066415,127.337763069506,0.023,match,
대전노은고등학교,대전광역시 유성구 노은동로 99,36.3641164,127.3212272,36.3693966879773,127.323215682417,0.614,minor,
대전대신고등학교,대전광역시 서구 오량1길 98,36.3096202,127.3802688,36.3089588095398,127.380049146103,0.076,match,
대전동산고등학교,대전광역시 중구 문화로 183,36.3113335,127.3937945,36.3161184162404,127.404491849602,1.096,mismatch,
동아마이스터고등학교,대전광역시 동구 충정로 97,36.3436358,127.4537684,36.3446130855869,127.454825677703,0.144,match,
대전둔산여자고등학교,대전광역시 서구 갈마역로 33,36.3534346,127.3735194,36.3529730275736,127.373283535546,0.056,match,
대전둔원고등학교,대전광역시 서구 대덕대로 101,36.3341722,127.3719437,36.3428313716734,127.373314440663,0.971,minor,
대전만년고등학교,대전광역시 서구 만년로 6,36.3673042,127.3728064,36.3672666784698,127.372951887217,0.014,match,
대전제일고등학교,대전광역시 서구 배재로46번길 77,36.3129887,127.3715197,36.3133742849195,127.372358859927,0.087,match,
대전성모여자고등학교,대전광역시 중구 대흥로 62,36.323592,127.4268869,36.3224646784501,127.41829654165,0.78,minor,
대전송촌고등학교,대전광역시 대덕구 선비마을로23번길 11,36.3643608,127.4456833,36.3634630057037,127.445927446149,0.102,match,
대전신일여자고등학교,대전광역시 중구 부사로 48,36.3091991,127.4361499,36.3086694104356,127.433405822322,0.253,match,
대전여자고등학교,대전광역시 동구 용운로1번길 28-37,36.3293455,127.4469456,36.3300002486211,127.446273615021,0.094,match,
대전여자상업고등학교,대전광역시 중구 대종로550번길 31,36.3335276,127.4219165,36.3338798995481,127.42167846413,0.045,match,
대전국제통상고등학교,대전광역시 중구 서문로 47,36.3125006,127.4083311,36.3138626054919,127.407536793239,0.167,match,
대전예술고등학교,대전광역시 유성구 월드컵대로308번길 33,36.3470747,127.3338222,36.3469540461616,127.333559972522,0.027,match,
대전외국어고등학교,대전광역시 서구 신갈마로 19,36.3395537,127.3675912,36.3365856584947,127.365624205253,0.374,minor,
대전전자디자인고등학교,대전광역시 유성구 대덕대로 939,36.422545,127.3828837,36.4129289544443,127.377016893308,1.191,mismatch,
대전중앙고등학교,대전광역시 중구 대종로 634,36.3018375,127.452074,36.3384107045318,127.415150806954,5.242,mismatch,
대전체육고등학교,대전광역시 유성구 원신흥로40번길 6,36.3377448,127.3423212,36.3365130897673,127.340653602635,0.203,match,
대전한빛고등학교,대전광역시 중구 대둔산로 119-37,36.2806104,127.3732713,36.2812445454735,127.373352854763,0.071,match,
동방고등학교,대전광역시 서구 계백로 1106,36.3096822,127.3714948,36.300337075228,127.346268143718,2.488,mismatch,
대전동신과학고등학교,대전광역시 동구 옥천로 423,36.3221715,127.4433005,36.3328583682761,127.474364250124,3.026,mismatch,
명석고등학교,대전광역시 동구 우암로 380,36.3525156,127.4546978,36.3529874575478,127.454245273207,0.066,match,
보문고등학교,대전광역시 동구 우암로 57,36.351656,127.4529031,36.3369769623322,127.424125673155,3.051,mismatch,
대전이문고등학교,대전광역시 대덕구 석봉로 15,36.4477547,127.4232558,36.4473121403739,127.423477878465,0.053,match,
서대전고등학교,대전광역시 서구 월평동로 60,36.3630797,127.3677322,36.3601335311867,127.369500564916,0.364,minor,
서대전여자고등학교,대전광역시 서구 배재로197번길 20,36.3257892,127.3676132,36.3276624536897,127.369582855709,0.273,match,
서일고등학교,대전광역시 서구 계백로828번길 30,36.2933319,127.3233404,36.2933263592364,127.323636237314,0.027,match,
서일여자고등학교,대전광역시 서구 구봉산북로 22,36.2937789,127.3237704,36.2942996137257,127.323545743107,0.061,match,
신탄진고등학교,대전광역시 대덕구 신탄진북로 14,36.4488304,127.4364178,36.449706677309,127.435950492726,0.106,match,
우송고등학교,대전광역시 동구 동대전로131번길 53,36.3345909,127.4439158,36.335628752102,127.442848859023,0.15,match,
유성고등학교,대전광역시 유성구 유성대로654번길 130,36.3503894,127.3384298,36.3492173781649,127.334774996888,0.352,minor,
유성생명과학고등학교,대전광역시 유성구 월드컵대로 270,36.3668421,127.3271467,36.3482395683882,127.328421641242,2.072,mismatch,
유성여자고등학교,대전광역시 유성구 은구비로138번길 70,36.3810914,127.3281254,36.3845624086165,127.328935430159,0.393,minor,
중일고등학교,대전 유성구 배울2로 68,36.4203652,127.3894297,36.4205249147892,127.388696484378,0.068,match,
청란여자고등학교,대전광역시 중구 보문로95번길 40,36.3126625,127.4302442,36.3107377355938,127.429527699493,0.223,match,
충남고등학교,대전광역시 서구 문정로 171,36.3496859,127.3943947,36.3499795050131,127.394272155447,0.034,match,
충남기계공업고등학교,대전광역시 중구 산성로 154,36.3071297,127.3922696,36.3119942087967,127.40357307303,1.148,mismatch,
충남여자고등학교,대전광역시 중구 선화로43번길 77,36.3276329,127.4130411,36.3297463634695,127.411287714097,0.283,match,
한밭고등학교,대전광역시 서구 신갈마로141번길 58,36.3461541,127.3663377,36.3464968491078,127.364398593111,0.178,match,
호수돈여자고등학교,대전광역시 중구 선화로 50,36.326765,127.4144756,36.3267722663264,127.414245768689,0.021,match,
대전반석고등학교,대전광역시 유성구 지족로 332,36.3867596,127.3135661,36.3869187814534,127.313524211805,0.018,match,
대전구봉고등학교,대전광역시 서구 관저서로 36,36.2954668,127.3309212,36.2955749269676,127.331002598608,0.014,match,
대전전민고등학교,대전광역시 유성구 전민로 63,36.3963938,127.3986549,36.398336832282,127.398332734458,0.218,match,
대전괴정고등학교,대전광역시 서구 가장로 15,36.3369351,127.3820134,36.3404030561824,127.378843134591,0.479,minor,
대전지족고등학교,대전광역시 유성구 노은서로 202,36.3638089,127.3142978,36.3779840347806,127.316083858007,1.584,mismatch,
대전용산고등학교,대전광역시 유성구 용산2로 2-16,36.4209002,127.3962936,36.421007774652,127.395905413535,0.037,match,
대전가오고등학교,대전광역시 동구 신기로 71,36.3113568,127.4576722,36.3106601970593,127.454472396733,0.297,match,
대전복수고등학교,대전광역시 서구 혜천로 66,36.3060131,127.370573,36.3037716130431,127.373585678549,0.367,minor,
대전도안고등학교,대전광역시 유성구 원신흥남로 51,36.33706,127.3382132,36.3369221288496,127.33731952862,0.082,match,
문수고등학교,울산광역시 남구 울밀로 2905,35.5556565,129.2634781,35.5556576123073,129.265323832218,0.167,match,
남창고등학교,울산광역시 울주군 온양읍 태화7길 43-16,35.4151857,129.2796564,35.4147781182275,129.277212613147,0.226,match,
울산동천고등학교,울산광역시 북구 고래로 54,35.6307437,129.3419112,35.6327798821215,129.338851290874,0.357,minor,
대송고등학교,울산광역시 동구 봉수로 210,35.5056974,129.4193008,35.5056934339129,129.419345385928,0.004,match,
무룡고등학교,울산광역시 북구 사청1길 30,35.5866879,129.3613506,35.5866509285564,129.361612671257,0.024,match,
방어진고등학교,울산광역시 동구 학문로 50,35.5042429,129.4230099,35.5046206933814,129.422991399889,0.042,match,
울산삼일고등학교,울산광역시 남구 두왕로190번길 59,35.5187081,129.3145567,35.5159310449232,129.316772024196,0.368,minor,
성광여자고등학교,울산광역시 남구 남부순환도로 97,35.5152611,129.3142662,35.5431457378798,129.265848882847,5.368,mismatch,
성신고등학교,울산광역시 중구 성신고교길 26,35.5619273,129.3282328,35.5628058092608,129.327792904061,0.105,match,
신정고등학교,울산광역시 남구 문수로 458,35.5331965,129.3023594,35.5329382489622,129.301990581426,0.044,match,
우신고등학교,울산광역시 남구 대학로1번길 29,35.5382916,129.2507925,35.537951049099,129.250414272672,0.051,match,
울산기술공업고등학교,울산광역시 울주군 온산읍 덕망로 54,35.4417181,129.3039548,35.438903488912,129.308028099223,0.484,minor,
울산경의고등학교,울산광역시 울주군 상북면 상북로 248,35.591186,129.0891469,35.5885203178571,129.093274779935,0.477,minor,
울산고등학교,울산광역시 중구 도화골15길 15,35.5633006,129.3312865,35.5631479704026,129.330867774664,0.042,match,
울산공업고등학교,울산광역시 남구 중앙로204번길 49,35.5422797,129.3174631,35.5418292500329,129.315973881492,0.144,match,
울산생활과학고등학교,울산광역시 동구 학문로 70,35.5044943,129.4215558,35.5042368075827,129.421010743389,0.057,match,
울산여자고등학교,울산광역시 남구 삼산로9번길 16,35.5332966,129.3092956,35.5355867023923,129.309595821797,0.256,match,
